Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
1/27/2026 14:40,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89043.94,89146.26,0.09,0.1,0.9,0.91,27.102,89366.4823,89124.1957,89245.339,0.0027,-0.3312,39.1132,0,89237.8699,-43.395,-122.1088,4.8249,-0.2461,87922.8133
1/27/2026 14:40,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89068.55,89146.26,0.14,0.15,0.85,0.86,27.827,89354.3468,89131.6352,89242.991,0.0025,-0.2833,35.4615,0,89215.3018,-40.7574,-111.7408,4.8249,-0.1733,87922.8133
1/27/2026 14:40,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89060,89146.26,0.11,0.12,0.88,0.89,27.3087,89356.7711,89128.3549,89242.563,0.0026,-0.2993,36.0729,0,89215.3018,-41.4403,-116.0685,4.8249,-0.1829,87922.8133
1/27/2026 14:40,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89066.17,89146.26,0.13,0.14,0.86,0.87,27.681,89355.015,89130.729,89242.872,0.0025,-0.2878,35.6315,0,89215.3018,-40.9473,-112.9471,4.8249,-0.176,87922.8133
1/27/2026 14:40,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89048.38,89146.26,0.09,0.1,0.9,0.91,26.6358,89360.1474,89123.8176,89241.9825,0.0026,-0.3192,36.9022,0,89184.1326,-42.3664,-131.5787,3.6034,-0.1959,87922.8133
1/27/2026 14:40,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89150,89146.26,0.33,0.34,0.66,0.67,27.4785,89355.9604,89129.4496,89242.705,0.0025,-0.2941,35.8701,0,89186.5739,-41.2137,-124.4413,3.6033,-0.1797,87922.8133
1/27/2026 14:41,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89063.11,89146.26,0.24,0.28,0.72,0.76,28.4955,89351.4339,89135.6061,89243.52,0.0024,-0.2617,35.9786,0,89173.4942,-39.9135,-101.7715,2.4104,-0.1614,87922.8133
1/27/2026 14:41,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89056.01,89146.26,0.13,0.14,0.86,0.87,27.9281,89352.9583,89126.3957,89239.677,0.0025,-0.3107,39.8992,0,89212.4183,-39.8175,-142.2659,2.342,-0.1515,87922.8133
1/27/2026 14:41,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89056.27,89146.26,0.11,0.12,0.88,0.89,27.9433,89352.8825,89126.4975,89239.69,0.0025,-0.3102,39.8806,0,89212.4231,-39.7968,-142.1338,2.342,-0.1512,87922.8133
1/27/2026 14:41,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89067.8,89146.26,0.13,0.14,0.86,0.87,28.6367,89349.5765,89130.9565,89240.2665,0.0024,-0.2889,39.057,0,89212.638,-38.877,-136.2458,2.342,-0.1383,87922.8133
1/27/2026 14:41,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89056.02,89146.26,0.1,0.11,0.89,0.9,27.9287,89352.9553,89126.3997,89239.6775,0.0025,-0.3107,39.8985,0,89212.4185,-39.8167,-142.2609,2.342,-0.1515,87922.8133
1/27/2026 14:41,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89041.9,89146.26,0.07,0.08,0.92,0.93,27.2604,89356.4066,89121.7804,89239.0935,0.0026,-0.3301,40.7327,0,89212.2009,-40.7485,-148.1655,2.342,-0.1646,87922.8133
1/27/2026 14:42,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89041.8,89146.26,0.07,0.08,0.92,0.93,26.7246,89355.2577,89107.1873,89231.2225,0.0028,-0.2636,42.0509,0,89192.8181,-45.3578,-130.2738,1.945,-0.1425,87922.8133
1/27/2026 14:42,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89049.99,89146.26,0.06,0.07,0.93,0.94,27.379,89352.3065,89111.2435,89231.775,0.0027,-0.2422,41.2617,0,89194.0724,-44.4763,-124.5208,1.9449,-0.1302,87922.8133
1/27/2026 14:42,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89052.91,89146.26,0.05,0.06,0.94,0.95,27.3826,89352.2908,89111.2652,89231.778,0.0027,-0.2421,41.2574,0,89194.0792,-44.4715,-124.4894,1.9449,-0.1301,87922.8133
1/27/2026 14:42,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89060.93,89146.26,0.06,0.07,0.93,0.94,27.7205,89350.8602,89113.2458,89232.053,0.0027,-0.2308,40.8645,0,89194.7036,-44.0328,-121.6052,1.9449,-0.1239,87922.8133
1/27/2026 14:42,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89065.87,89146.26,0.05,0.06,0.94,0.95,28.1924,89348.963,89115.889,89232.426,0.0026,-0.2146,40.3317,0,89195.5504,-43.4377,-117.6712,1.9449,-0.1156,87922.8133
1/27/2026 14:42,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89046.28,89146.26,0.05,0.06,0.94,0.95,26.9861,89354.0493,89108.8437,89231.4465,0.0027,-0.2551,41.7309,0,89193.3266,-45.0004,-127.948,1.9449,-0.1375,87922.8133
1/27/2026 14:43,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89077.17,89146.26,0.09,0.1,0.9,0.91,32.4448,89339.3467,89116.2023,89227.7745,0.0025,-0.1749,40.6329,0,89207.9395,-42.49,-110.3727,21.6982,-0.1714,87922.8133
1/27/2026 14:43,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89095.79,89146.26,0.14,0.15,0.85,0.86,32.7532,89338.2603,89117.7577,89228.009,0.0025,-0.1628,40.2979,0,89207.9395,-42.1158,-107.7676,21.6982,-0.1661,87922.8133
1/27/2026 14:43,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89081.85,89146.26,0.08,0.09,0.91,0.92,32.8424,89337.9544,89118.1976,89228.076,0.0025,-0.1593,40.2022,0,89207.9395,-42.009,-107.0212,21.6982,-0.1646,87922.8133
1/27/2026 14:43,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89066.62,89146.26,0.06,0.07,0.93,0.94,31.6097,89342.518,89111.715,89227.1165,0.0026,-0.2067,41.5729,0,89207.9395,-43.5398,-117.624,21.6982,-0.1861,87922.8133
1/27/2026 14:43,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89079.86,89146.26,0.02,0.03,0.97,0.98,32.621,89338.7207,89117.0973,89227.909,0.0025,-0.168,40.4408,0,89207.9395,-42.2754,-108.8799,21.6982,-0.1684,87922.8133
1/27/2026 14:44,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89066.61,89146.26,0.02,0.03,0.97,0.98,31.7719,89341.8752,89112.6188,89227.247,0.0026,-0.2006,41.3865,0,89207.9395,-43.3316,-116.1927,21.6982,-0.1832,87922.8133
1/27/2026 14:44,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89076,89146.26,0.03,0.04,0.96,0.97,31.8274,89331.7012,89113.2988,89222.5,0.0024,-0.1707,38.3478,0,89207.9395,-42.1227,-110.6439,21.2714,-0.2017,87922.8133
1/27/2026 14:44,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89078.32,89146.26,0.01,0.02,0.98,0.99,31.9841,89331.1673,89114.0637,89222.6155,0.0024,-0.1646,38.1828,0,89207.9395,-41.9384,-109.3074,21.2714,-0.1991,87922.8133
1/27/2026 14:44,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89065.66,89146.26,0.01,0.02,0.98,0.99,31.1438,89334.1641,89109.8009,89221.9825,0.0025,-0.1967,39.0871,0,89207.9395,-42.9483,-116.5962,21.2714,-0.2133,87922.8133
1/27/2026 14:44,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89091.24,89146.26,0,0.01,0.99,1,31.9059,89331.4324,89113.6836,89222.558,0.0024,-0.1677,39.8749,0,89207.9237,-42.0301,-103.4178,21.267,-0.2004,87922.8133
1/27/2026 14:44,btc-updown-15m-1769549400,N/A,STATUS,0,0,0,0,101.02,101.02,89091.24,89146.26,0,0.01,0.99,1,32.665,89328.9744,89117.2346,89223.1045,0.0024,-0.1376,39.0942,0,89207.925,-41.1582,-96.9929,21.267,-0.1882,87922.8133
1/27/2026 14:45,btc-updown-15m-1769549400,N/A,MARKET_CLOSE,0,0,0,1.02,100,101.02,89095.93,,,,,,33.2314,89327.3016,89119.6904,89223.496,0.0023,-0.1144,38.5349,0,89207.926,-40.5336,-92.3488,21.267,-0.1794,87922.8133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2026 14:45,btc-updown-15m-1769550300,N/A,MARKET_START,0,0,0,0,100,100,89209.08,89105.31,,,,,45.0073,89305.5078,89144.6202,89225.064,0.0018,0.4007,29.7726,60.883,89207.9397,-29.3793,-17.8198,24.892,-0.0301,87922.8133
1/27/2026 14:45,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89209.08,89105.31,0,0,0,0,45.0073,89305.5078,89144.6202,89225.064,0.0018,0.4007,29.7726,60.883,89207.9397,-29.3793,-17.8198,24.892,-0.0301,87922.8133
1/27/2026 14:45,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89049.04,89105.31,0.38,0.39,0.61,0.62,31.052,89329.6269,89104.4971,89217.062,0.0025,-0.2463,41.204,0,89207.9397,-42.146,-122.3971,24.892,-0.2095,87922.8133
1/27/2026 14:46,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89064.73,89105.31,0.44,0.45,0.55,0.56,30.8734,89317.7515,89109.0525,89213.402,0.0023,-0.2464,38.4842,0,89207.9397,-39.4112,-119.3603,24.9154,-0.1998,87922.8133
1/27/2026 14:46,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89088.94,89105.31,0.47,0.48,0.52,0.53,32.1763,89312.7891,89115.9669,89214.378,0.0022,-0.1972,37.0899,0,89207.9397,-37.854,-106.7343,24.9154,-0.178,87922.8133
1/27/2026 14:46,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89086.13,89105.31,0.47,0.48,0.52,0.53,32.817,89310.6382,89119.0208,89214.8295,0.0021,-0.1714,36.4449,0,89207.9397,-37.1337,-100.8041,24.9154,-0.1678,87922.8133
1/27/2026 14:46,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89084.99,89105.31,0.52,0.53,0.47,0.48,32.7319,89310.9136,89118.6274,89214.7705,0.0022,-0.1749,36.5292,0,89207.9397,-37.2278,-101.5823,24.9154,-0.1692,87922.8133
1/27/2026 14:46,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89101.98,89105.31,0.53,0.54,0.46,0.47,34.0009,89307.1277,89124.1103,89215.619,0.0021,-0.121,35.3171,0,89207.9397,-35.8741,-90.2956,24.9154,-0.1501,87922.8133
1/27/2026 14:46,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89129.6,89105.31,0.66,0.67,0.33,0.34,36.2917,89301.8791,89132.1219,89217.0005,0.0019,-0.0149,33.3435,0,89207.9397,-33.67,-71.4698,24.9154,-0.1192,87922.8133
1/27/2026 14:47,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89166.28,89105.31,0.76,0.77,0.23,0.24,37.3343,89287.7399,89139.7201,89213.73,0.0017,0.0423,30.1991,8.3215,89207.9397,-30.515,-58.4472,30.1166,-0.0822,87922.8133
1/27/2026 14:47,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89150.19,89105.31,0.7,0.71,0.29,0.3,38.4695,89286.3163,89142.2357,89214.276,0.0016,0.1018,29.4191,17.4177,89207.9397,-29.6439,-50.2528,30.1166,-0.07,87922.8133
1/27/2026 14:47,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89142.84,89105.31,0.66,0.67,0.33,0.34,37.0192,89288.2003,89138.9447,89213.5725,0.0017,0.026,30.4241,5.6976,89207.9397,-30.7663,-60.7915,30.1166,-0.0857,87922.8133
1/27/2026 14:47,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89156.9,89105.31,0.77,0.78,0.22,0.23,38.4695,89286.3163,89142.2357,89214.276,0.0016,0.1018,29.4191,17.4177,89207.9397,-29.6439,-50.2528,30.1166,-0.07,87922.8133
1/27/2026 14:47,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89169.92,89105.31,0.76,0.77,0.23,0.24,39.9167,89284.9924,89144.8616,89214.927,0.0016,0.1788,28.4891,28.2632,89207.9397,-28.6052,-40.344,30.1166,-0.0554,87922.8133
1/27/2026 14:48,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89165.98,89105.31,0.76,0.77,0.23,0.24,39.9167,89284.9924,89144.8616,89214.927,0.0016,0.1788,28.4891,28.2632,89207.9397,-28.6052,-40.344,30.1166,-0.0554,87922.8133
1/27/2026 14:48,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89169.91,89105.31,0.79,0.8,0.2,0.21,39.5533,89273.3618,89149.0372,89211.1995,0.0014,0.168,26.709,28.2632,89207.8891,-26.9134,-37.8863,29.0085,-0.0554,87922.8133
1/27/2026 14:48,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89166,89105.31,0.75,0.76,0.24,0.25,39.0806,89273.736,89148.271,89211.0035,0.0014,0.1413,26.989,24.9979,89207.8891,-27.2261,-41.0759,29.0085,-0.0598,87922.8133
1/27/2026 14:48,btc-updown-15m-1769550300,N/A,STATUS,0,0,0,0,100,100,89128.77,89105.31,0.59,0.6,0.4,0.41,35.0969,89279.2708,89139.0132,89209.142,0.0016,-0.073,29.6483,0,89207.8891,-30.196,-70.604,29.0085,-0.1015,87922.8133
